3OAR140;3OAS140;;;;;;;
ACGK;ACGS;AGPR;;;;;;
ACODA;ACOTA;;;;;;;
ACONTa;ACONTb;;;;;;;
ADSK;BPNT;SADT2;SULR;;;;;
ADSL1r;ADSS;;;;;;;
AICART;IMPC;;;;;;;
AIRC2;AIRC3;ADSL2r;PRASCSi;;;;;
AMAOTr;;;;;;;;
AOXSr2;;;;;;;;
ARGSL;ARGSS;OCBT;;;;;;
ASPCT;DHORTS;ORPT;OMPDC;;;;;
ASPK;ASAD;;;;;;;
ASPTA;;;;;;;;
ATPPRT;HISTD;HISTP;HSTPT;IG3PS;IGPDH;PRAMPC;PRATPP;PRMICI
BMOGDS2;;;;;;;;
BTS5;;;;;;;;
CAt6pp;CA2tex;CLt3_2pp;CLtex;Ktex;MG2tex;NNDPR;QULNS;
CDPMEK;DXPRIi;IPDPS;MEPCT;MECDPDH5;MECDPS;;;
CHORS;DHQTi;PSCVT;SHK3Dr;SHKK;;;;
CHRPL;;;;;;;;
COBALT2tex;;;;;;;;
COBALT2tpp;;;;;;;;
CS;;;;;;;;
CTPS2;;;;;;;;
CYSS;;;;;;;;
DBTS;;;;;;;;
DDPA;DHQS;;;;;;;
DXPS;;;;;;;;
E4PD;;;;;;;;
EGMEACPR;;;;;;;;
EPMEACPR;;;;;;;;
G5SADs;;;;;;;;
GF6PTA;;;;;;;;
GLNS;;;;;;;;
GLUPRT;PRAGSr;PRAIS;PRFGS;;;;;
GMPS2;;;;;;;;
HBZOPT;;;;;;;;
HSDy;;;;;;;;
HSK;THRS;;;;;;;
ICDHyr;;;;;;;;
K2L4Aabcpp;K2L4Aabctex;;;;;;;
MALCOAMT;;;;;;;;
MCOATA;;;;;;;;
MCTP1App;;;;;;;;
MEOHtex;;;;;;;;
MEOHtrpp;;;;;;;;
MNtex;;;;;;;;
NADK;;;;;;;;
NDPK2;;;;;;;;
NDPK4;;;;;;;;
NH4tex;;;;;;;;
NH4tpp;;;;;;;;
NI2tex;;;;;;;;
OCTDPS;;;;;;;;
OGMEACPD;;;;;;;;
OGMEACPR;;;;;;;;
OGMEACPS;;;;;;;;
OHPBAT;;;;;;;;
OPHBDC;;;;;;;;
OPMEACPD;;;;;;;;
OPMEACPR;;;;;;;;
OPMEACPS;;;;;;;;
P5CR;;;;;;;;
PAPPT3;UAGCVT;UAGPT3;UAPGR;UDCPDP;UGMDDS;;;
PDX5PS;;;;;;;;
PE160abcpp;;;;;;;;
PE161abcpp;;;;;;;;
PERD;;;;;;;;
PHETA1;PPNDH;;;;;;;
PItex;;;;;;;;
PMEACPE;;;;;;;;
PPND;TYRTA;;;;;;;
PSD160;PSSA160;;;;;;;
SERAT;;;;;;;;
SHCHF;;;;;;;;
SO4tex;;;;;;;;
TMPK;;;;;;;;
UDCPDPS;;;;;;;;
Zn2tex;;;;;;;;
